Event Type,Location,Region,Country,Latitude,Longitude,Date,Time UTC,Details,Deaths,Source Link
heavy rain,Taza-Al Hoceima-Taounate,جرسيف / r. Guercif,Morocco,34.23,3.36,23-10-2000,12:00,"based on information from:  a report on a website, a report in scientific literature source: 2000 Global Register of Extreme Flood Events; Dartmouth Flood Observatory; 2003; Depts Geography and EarthSciences, Dartmouth College, Hanover, NH USA report status: scientific case study (QC2) contact: Thilo Kühne (ESWD management)",0,#map_div
heavy rain,Chaouia-Ouardigha,برشيد / Berrechid,Morocco,33.26,7.58,24-12-2001,12:00,"based on information from:  a report in scientific literature Number of people dead: 15 . source: 2001 Global Register of Extreme Flood Events, Dartmouth Flood Observatory; 2003 report status: scientific case study (QC2) contact: Thilo Kühne (ESWD management)",15,#map_div
heavy rain,Chaouia-Ouardigha,سطات / Settat,Morocco,33.00,7.61,24-12-2001,12:00,"based on information from:  a report in scientific literature source: 2001 Global Register of Extreme Flood Events, Dartmouth Flood Observatory; 2003 report status: scientific case study (QC2) contact: Thilo Kühne (ESWD management)",0,#map_div
heavy rain,Souss-Massa-Drâa,[?] / Bou Skour,Morocco,30.93,6.30,02-04-2002,00:00,"based on information from:  a report in scientific literature precipitation: 77.3 mm duration of precipitation: 30 hours source: Fink, A.H.; Knippertz, P.: An extreme precipitation event in southern  Morocco in spring 2002 and some  hydrological implications;   Institute of Geophysics and Meteorology, University of Cologne, Germany, 2003 report status: scientific case study (QC2) contact: Thilo Kühne (ESWD management)",0,#map_div
heavy rain,Fès-Boulemane,فاس‎ / Fès,Morocco,34.05,4.98,24-11-2002,12:00,"based on information from:  a television or radio broadcast, a report on a website Number of people dead: 5 . man and four children swept away in their house by sudden floods caused by heavy rain;  source: ""Morocco floods hit oil plant"", BBC NEWS World Edition, 27.11.2002; report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",5,#map_div
heavy rain,"Ben Ahment, regions near Mohammedia",سطات / Settat Region,Morocco,33.38,7.17,24-11-2002,12:00,"based on information from:  a television or radio broadcast, a report on a website, photograph(s) and/or video footage of the inflicted damage Number of people dead: 32 . flash floods;  source: ""Morocco floods hit oil plant"", BBC NEWS World Edition, 27.11.2002; report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",32,#map_div
heavy rain,Grand Casablanca,Casablanca,Morocco,33.59,7.61,22-12-2009,15:00,"based on information from:  a newspaper report, a report on a website dozens injured by collapsing houses;  source: ""Una española y otras cuatro personas mueren en Marruecos por lluvias"", EL MUNDO, 25.12.2009; report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",0,#map_div
heavy rain,Tanger-Tétouan,Taza,Morocco,35.03,5.26,22-12-2009,15:00,"based on information from:  a newspaper report, a report on a website Number of people dead: 1 . car swept away by sudden floods; one man killed;  source: ""Una española y otras cuatro personas mueren en Marruecos por lluvias"", EL MUNDO, 25.12.2009; report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",1,#map_div
heavy rain,Marrakech-Tensift-Al Haouz,Chichaoua,Morocco,31.54,8.76,22-12-2009,15:00,"based on information from:  a newspaper report, a report on a website Number of people injured: 2 .   Number of people dead: 1 . car swept away by sudden floods;  woman killed;  source: ""Una española y otras cuatro personas mueren en Marruecos por lluvias"", EL MUNDO, 25.12.2009; report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",1,#map_div
large hail,Al Hoceïma,‏الحسيمة,Morocco,35.24,3.93,18-04-2011,18:00,"based on information from:  a report on a website, a report by a weather service hailstorm reported; event plausible;  source: ws synop. report v. Ogimet; OGIMET, 18 APR 2011; report status: plausibility check passed (QC0+) contact: Thilo Kühne (ESWD management)",0,#map_div
tornado,Beni Mellal,بني ملال,Morocco,32.33,6.35,10-05-2011,15:00,"based on information from:  a report by a weather service, a report on a website occurring over: land The funnel cloud was observed. tornado reported / observed; ws synop report;  source: OGIMET, 10 MAY 2011; report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",0,#map_div
severe wind,Fès-Boulemane,Fès,Morocco,34.05,4.98,19-01-2013,09:30,based on information from:  a report by a weather service wind speed: 28 m/s convective. direction of movement: WSW-ENE GMFF 1000 UTC metar report status: report confirmed by reliable source (QC1) contact: Georg Pistotnik (ESSL),0,#map_div
severe wind,Tanger-Tétouan,Tangier,Morocco,35.78,5.81,19-01-2013,08:45,based on information from:  a report by a weather service wind speed: 26 m/s convective. direction of movement: W-E GMTT 0900 UTC metar; verified by radar report status: report confirmed by reliable source (QC1) contact: Georg Pistotnik (ESSL),0,#map_div
severe wind,Tanger-Tétouan,Tangier,Morocco,35.78,5.81,19-01-2013,08:15,based on information from:  a report by a weather service wind speed: 32 m/s convective. direction of movement: WSW-ENE GMTT 0830 UTC metar; verified by radar report status: report confirmed by reliable source (QC1) contact: Georg Pistotnik (ESSL),0,#map_div
heavy rain,Souss-Massa-Drâa,Agadir,Morocco,30.40,9.60,24-11-2014,12:00,"based on information from:  a newspaper report, a report on a website damage to crops and forests: areas flooded Number of people dead: 1 . heavy rain; areas flooded; one man killed;  source: ""Floods in Agadir: Drowned Man’s Body Washes up on Shore"", MOROCCO WORLD NEWS, 29 NOV 2014; http://www.moroccoworldnews.com/2014/11/145533/floods-in-agadir-drowned-mans-body-washes-up-on-shore/ report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",1,#map_div
heavy rain,Guelmim-Es Semara,Guelmim,Morocco,28.99,10.05,24-11-2014,09:00,"based on information from:  a newspaper report, a report on a website precipitation: 100.5 mm duration of precipitation: 24 hours Number of people dead: 32 . heavy rain caused severe floods in Guelmim area (county); at least 32 people killed;  source: ""Maroc : Au moins 28 tués dans de violents orages "", LA VOIX DE L'AMÉRIQUE, 24 NOV 2014;  source II: ""Floods kill at least 32 in southern Morocco"", ABC NEWS, 25 NOV 2014; http://www.lavoixdelamerique.com/content/maroc-au-moins-28-tues-dans-de-violents-orages/2532266.html - http://www.google.de/url?sa=t&rct=j&q=&esrc=s&source=web&cd=12&cad=rja&uact=8&ved=0CGYQFjAL&url=http%3A%2F%2Fabcnews.go.com%2FInternational%2FwireStory%2Ffloods-kill-17-southern-morocco-27129297&ei=UYJ2VNvuCIXAPLuAgZgC&usg=AFQjCNHdBNKWNtuW-JCr6BMxvoP-DNqqjA&sig2=IsQhpWaa_3cko8O7LOncrQ https://www.researchgate.net/publication/308282371_Causes_and_consequences_of_the_November_2014_torrential_rains_in_the_center_south_of_Morocco report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",32,#map_div
heavy rain,Souss-Massa-Drâa,Taroudannt,Morocco,30.48,8.86,04-05-2016,18:45,"based on information from:  an eye-witness report, photograph(s) and/or video footage of the inflicted damage, a report on a website, an eyewitness report of the damage damage to property: damage damage to crops and forests: areas flooded - Flash Floods source: photo reports; reported v. Метеодневник| Метеорология|Опасная погода в СНГ / Severe Weather Russia and GUS, 06 MAY 2016; https://pp.vk.me/c636123/v636123506/5426/jQKK9Lmsuws.jpg - https://pp.vk.me/c636123/v636123506/542f/CprsXIXWjM8.jpg - https://pp.vk.me/c636123/v636123506/53f3/ViE_UxxR9xA.jpg report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",0,#map_div
large hail,Taza-Al Hoceima-Taounate,Ifrane,Morocco,34.70,4.15,28-04-2017,15:30,"based on information from:  photo or video of the event, a report on a website, an eye-witness report maximum hail diameter: 5 cm hailstorm; large hail up to 5cm i.d.;  source: witness photo report; reported v.Метеодневник | Опасная погода, 02 MAY 2017; report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",0,#map_div
tornado,Rabat-Salé-Zemmour-Zaër,ⴰⵕⴱⴰⵟ / الرباط / Rabat,Morocco,34.00,6.89,07-01-2018,14:00,"based on information from:  a report on a website, photo or video of the event, an eye-witness report occurring over: water Suction vortices were not observed. The funnel cloud was observed. third waterspout observed; source: witness photo reports, reported v. Фобос. Катаклизмы и катастрофы природы., 08 JAN 2018; https://vk.com/fobosplanet?w=wall-21245447_359369 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",0,#map_div
tornado,Rabat-Salé-Zemmour-Zaër,ⴰⵕⴱⴰⵟ / الرباط / Rabat,Morocco,34.03,6.95,07-01-2018,14:00,"based on information from:  a report on a website, photo or video of the event, an eye-witness report occurring over: water Suction vortices were not observed. The funnel cloud was observed. second waterspout observed; source: witness photo reports, reported v. Фобос. Катаклизмы и катастрофы природы., 08 JAN 2018; https://vk.com/fobosplanet?w=wall-21245447_359369 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",0,#map_div
tornado,Rabat-Salé-Zemmour-Zaër,ⴰⵕⴱⴰⵟ / الرباط / Rabat,Morocco,34.04,6.95,07-01-2018,14:00,"based on information from:  a report on a website, photo or video of the event, an eye-witness report occurring over: water The funnel cloud was observed. large waterspout observed;  source: witness photo reports, reported v. Фобос. Катаклизмы и катастрофы природы., 08 JAN 2018; https://vk.com/fobosplanet?w=wall-21245447_359369 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management)",0,#map_div
heavy rain,Marrakech-Tensift-Al Haouz,Asni,Morocco,31.27,7.98,24-07-2019,17:00,"based on information from:  photograph(s) and/or video footage of the inflicted damage, a report on a website Impacts: Road(s) impassable or closed, Road(s) damaged or destroyed, Car(s) damaged beyond repair, Land- or mudslide(s) Number of people dead: 15 . heavy rain caused landslide which hit road near Asni village; vehicles hit by landslide, 15 people killed. https://vk.com/fobosplanet?w=wall-21245447_501614 Reference: Фобос. Катаклизмы и катастрофы природы., v. VKontakte, 27 JUL 2019 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",15,#map_div
